,city,origin_city,has_delay,time_of_day,avg_temperature_2m,avg_relative_humidity_2m,total_precipitation,avg_cloud_cover
0,Athens,Sanford,1,evening,13.59660428762436,56.208333333333336,0.0,50.291666666666664
1,Rome,Fort Wayne,1,afternoon,13.65533318122228,57.666666666666664,0.0,46.208333333333336
2,Rome,Norwood,1,afternoon,13.991666714350382,55.416666666666664,0.0,45.958333333333336
3,Budapest,Dubai,1,evening,9.587249795595804,55.583333333333336,0.0,75.375
4,Vienna,Berlin,1,evening,9.837875028451284,75.83333333333333,0.20000000298023224,87.5
5,Paris,Geneva,1,night,13.895458181699118,71.20833333333333,0.0,60.083333333333336
6,London,Mostar,1,evening,12.069103797276815,75.66666666666667,0.0,92.79166666666667
7,London,Alicante,1,afternoon,12.213687539100647,74.45833333333333,0.0,91.375
8,London,Bolzano,1,afternoon,11.846853931744894,76.04166666666667,0.0,88.95833333333333
9,Berlin,Barcelona,0,evening,10.429521063963572,80.0,4.600000001490116,96.54166666666667
10,Athens,Houston,1,evening,13.59660428762436,56.208333333333336,0.0,50.291666666666664
11,Rome,Fort Myers,1,afternoon,13.65533318122228,57.666666666666664,0.0,46.208333333333336
12,London,West Palm Beach,1,evening,13.991666714350382,55.416666666666664,0.0,45.958333333333336
13,Budapest,Lisbon,1,evening,9.587249795595804,55.583333333333336,0.0,75.375
14,Vienna,Athens,0,evening,9.837875028451284,75.83333333333333,0.20000000298023224,87.5
15,Paris,Athens,1,evening,13.895458181699118,71.20833333333333,0.0,60.083333333333336
16,London,St. Gallen,1,evening,12.069103797276815,75.66666666666667,0.0,92.79166666666667
17,London,Birmingham,1,evening,11.846853931744894,76.04166666666667,0.0,88.95833333333333
18,Berlin,Riga,1,evening,10.429521063963572,80.0,4.600000001490116,96.54166666666667
19,Athens,Sugar Land,1,evening,13.59660428762436,56.208333333333336,0.0,50.291666666666664
20,Rome,Bentonville,0,afternoon,13.65533318122228,57.666666666666664,0.0,46.208333333333336
21,London,West Palm Beach,1,evening,13.991666714350382,55.416666666666664,0.0,45.958333333333336
